Year,Month,jobs
2014,Mar,2729.0
2015,Mar,2748.0
2016,Mar,2782.0
2017,Mar,2808.0
1939,Apr,933.0
1940,Apr,997.0
1941,Apr,1290.0
1942,Apr,2053.0
1943,Apr,3062.0
1944,Apr,3022.0
1945,Apr,3092.0
1946,Apr,2477.0
1947,Apr,2035.0
1948,Apr,1889.0
1949,Apr,2011.0
1950,Apr,2032.0
1951,Apr,2357.0
1952,Apr,2522.0
1953,Apr,2466.0
1954,Apr,2301.0
1955,Apr,2289.0
1956,Apr,2305.0
1957,Apr,2344.0
1958,Apr,2282.0
1959,Apr,2330.0
1960,Apr,2511.0
1961,Apr,2367.0
1962,Apr,2445.0
1963,Apr,2485.0
1964,Apr,2472.0
1965,Apr,2476.0
1966,Apr,2640.0
1967,Apr,2839.0
1968,Apr,2861.0
1969,Apr,2889.0
1970,Apr,2996.0
1971,Apr,2810.0
1972,Apr,2822.0
1973,Apr,2796.0
1974,Apr,2846.0
1975,Apr,2874.0
1976,Apr,2872.0
1977,Apr,2858.0
1978,Apr,2881.0
1979,Apr,2883.0
1980,Apr,3258.0
1981,Apr,2915.0
1982,Apr,2872.0
1983,Apr,2902.0
1984,Apr,2931.0
1985,Apr,2996.0
1986,Apr,3052.0
1987,Apr,3073.0
1988,Apr,3107.0
1989,Apr,3142.0
1990,Apr,3259.0
1991,Apr,3086.0
1992,Apr,3117.0
1993,Apr,3069.0
1994,Apr,3034.0
1995,Apr,2964.0
1996,Apr,2894.0
1997,Apr,2816.0
1998,Apr,2752.0
1999,Apr,2793.0
2000,Apr,2911.0
2001,Apr,2755.0
2002,Apr,2755.0
2003,Apr,2769.0
2004,Apr,2753.0
2005,Apr,2725.0
2006,Apr,2733.0
2007,Apr,2732.0
2008,Apr,2755.0
2009,Apr,2922.0
2010,Apr,2984.0
2011,Apr,2870.0
2012,Apr,2826.0
2013,Apr,2794.0
2014,Apr,2729.0
2015,Apr,2760.0
2016,Apr,2781.0
2017,Apr,2801.0
1939,May,941.0
1940,May,1007.0
1941,May,1335.0
1942,May,2134.0
1943,May,3082.0
1944,May,3028.0
1945,May,3065.0
1946,May,2432.0
1947,May,2002.0
1948,May,1901.0
1949,May,2027.0
1950,May,1951.0
1951,May,2403.0
1952,May,2533.0
1953,May,2446.0
1954,May,2295.0
1955,May,2293.0
1956,May,2312.0
1957,May,2340.0
1958,May,2285.0
1959,May,2331.0
1960,May,2387.0
1961,May,2378.0
1962,May,2454.0
1963,May,2482.0
1964,May,2473.0
1965,May,2479.0
1966,May,2663.0
1967,May,2848.0
1968,May,2861.0
1969,May,2883.0
1970,May,2919.0
1971,May,2808.0
1972,May,2817.0
1973,May,2800.0
1974,May,2853.0
1975,May,2875.0
1976,May,2866.0
1977,May,2857.0
1978,May,2881.0
1979,May,2880.0
1980,May,3088.0
1981,May,2904.0
1982,May,2855.0
1983,May,2904.0
1984,May,2937.0
1985,May,3008.0
1986,May,3043.0
1987,May,3078.0
1988,May,3100.0
