Date,Open,High,Low,Close,Volume,Adj Close
2011-01-03,325.64,330.26,324.84,329.57,111284600,44.59
2011-01-04,332.44,332.5,328.15,331.29,77270200,44.82
2011-01-05,329.55,334.34,329.5,334.0,63879900,45.18
2011-01-06,334.72,335.25,332.9,333.73,75107200,45.15
2011-01-07,333.99,336.35,331.9,336.12,77982800,45.47
2011-01-10,338.83,343.23,337.17,342.45,112140000,46.33
2011-01-11,344.88,344.96,339.47,341.64,111027000,46.22
2011-01-12,343.25,344.43,342.0,344.42,75647600,46.59
2011-01-13,345.16,346.64,343.85,345.68,74195100,46.76
2011-01-14,345.89,348.48,344.44,348.48,77210000,47.14
2011-01-18,329.52,344.76,326.0,340.65,470249500,46.08
2011-01-19,348.35,348.6,336.88,338.84,283903200,45.84
2011-01-20,336.43,338.3,330.12,332.68,191197300,45.01
2011-01-21,333.77,334.88,326.63,326.72,188600300,44.2
2011-01-24,326.87,337.45,326.72,337.45,143670800,45.65
2011-01-25,336.33,341.44,334.57,341.4,136717000,46.19
2011-01-26,342.96,345.6,341.5,343.85,126718900,46.52
2011-01-27,343.78,344.69,342.83,343.21,71256500,46.43
2011-01-28,344.17,344.4,333.53,336.1,148014300,45.47
2011-01-31,335.8,340.04,334.3,339.32,94311700,45.9
2011-02-01,341.3,345.65,340.98,345.03,106658300,46.68
2011-02-02,344.45,345.25,343.55,344.32,64738800,46.58
2011-02-03,343.8,344.24,338.55,343.44,98449400,46.46
2011-02-04,343.64,346.7,343.51,346.5,80460100,46.88
2011-02-07,347.89,353.25,347.64,351.88,121255400,47.6
2011-02-08,353.68,355.52,352.15,355.2,95260200,48.05
2011-02-09,355.19,359.0,354.87,358.16,120686300,48.45
2011-02-10,357.39,360.0,348.0,354.54,232137500,47.96
2011-02-11,354.75,357.8,353.54,356.85,91893200,48.28
2011-02-14,356.79,359.48,356.71,359.18,77604100,48.59
2011-02-15,359.19,359.97,357.55,359.9,71043700,48.69
2011-02-16,360.8,364.9,360.5,363.13,120289400,49.13
2011-02-17,357.25,360.27,356.52,358.3,132645800,48.47
2011-02-18,358.71,359.5,349.52,350.56,204014300,47.42
2011-02-22,342.15,345.4,337.72,338.61,218138900,45.81
2011-02-23,338.77,344.64,338.61,342.62,167963600,46.35
2011-02-24,344.02,345.15,338.37,342.88,124975200,46.39
2011-02-25,345.26,348.43,344.8,348.16,95004700,47.1
2011-02-28,351.24,355.05,351.12,353.21,100768500,47.78
2011-03-01,355.47,355.72,347.68,349.31,114034200,47.26
2011-03-02,349.96,354.35,348.4,352.12,150647700,47.64
2011-03-03,357.19,359.79,355.92,359.56,125197100,48.64
2011-03-04,360.07,360.29,357.75,360.0,113316700,48.7
2011-03-07,361.4,361.67,351.31,355.36,136530800,48.07
2011-03-08,354.91,357.4,352.25,355.76,89079200,48.13
2011-03-09,354.69,354.76,350.6,352.47,113326500,47.68
2011-03-10,349.12,349.77,344.9,346.67,126884800,46.9
2011-03-11,345.33,352.32,345.0,351.99,117770100,47.62
2011-03-14,353.18,356.48,351.31,353.56,108989300,47.83
2011-03-15,342.1,347.84,340.1,345.43,180270300,46.73
2011-03-16,342.0,343.0,326.26,330.01,290502800,44.64
2011-03-17,336.83,339.61,330.66,334.64,164855600,45.27
2011-03-18,337.13,338.2,330.0,330.67,188303500,44.73
2011-03-21,335.99,339.74,335.26,339.3,102350500,45.9
2011-03-22,342.56,342.62,339.14,341.2,81480700,46.16
2011-03-23,339.28,340.22,335.95,339.19,93249100,45.89
2011-03-24,341.85,346.0,338.86,344.97,101178000,46.67
2011-03-25,348.07,352.06,347.02,351.54,112227500,47.56
2011-03-28,353.15,354.32,350.44,350.44,77338800,47.41
2011-03-29,347.66,350.96,346.06,350.96,88225200,47.48
2011-03-30,350.64,350.88,347.44,348.63,82351500,47.16
2011-03-31,346.36,349.8,346.06,348.51,68504800,47.15
2011-04-01,351.11,351.59,343.3,344.56,104665400,46.61
2011-04-04,344.31,344.6,338.4,341.19,115021200,46.16
2011-04-05,336.99,342.25,336.0,338.89,120682800,45.85
2011-04-06,341.22,343.9,337.14,338.04,100634800,45.73
2011-04-07,338.1,340.43,336.03,338.08,93361800,45.74
2011-04-08,339.92,340.15,333.95,335.06,94383800,45.33
2011-04-11,334.06,335.67,330.02,330.8,99736700,44.75
2011-04-12,330.49,333.73,330.2,332.4,106409800,44.97
2011-04-13,335.02,336.14,332.52,336.13,86555000,45.47
2011-04-14,334.8,336.0,332.06,332.42,75450200,44.97
2011-04-15,333.3,333.64,326.8,327.46,113401400,44.3
2011-04-18,326.1,332.23,320.16,331.85,152474700,44.89
2011-04-19,333.1,337.98,331.71,337.86,104844600,45.71
2011-04-20,343.51,345.75,341.5,342.41,175166600,46.32
2011-04-21,355.0,355.13,348.52,350.7,188452600,47.44
2011-04-25,350.34,353.75,350.3,353.01,66636500,47.76
2011-04-26,353.62,354.99,349.35,350.42,84700000,47.41
2011-04-27,352.24,352.35,347.1,350.15,89053300,47.37
2011-04-28,346.19,349.75,345.52,346.75,90239800,46.91
2011-04-29,346.78,353.95,346.67,350.13,251586300,47.37
2011-05-02,349.74,350.47,345.5,346.28,110678400,46.85
2011-05-03,347.99,349.89,345.62,348.2,78337000,47.11
2011-05-04,348.26,351.83,346.88,349.57,97312600,47.29
2011-05-05,348.4,350.95,346.05,346.75,83992300,46.91
2011-05-06,349.69,350.0,346.21,346.66,70033600,46.9
2011-05-09,347.86,349.2,346.53,347.6,51186800,47.02
2011-05-10,348.89,349.69,346.66,349.45,70522900,47.27
2011-05-11,349.02,350.0,345.24,347.23,84000000,46.97
2011-05-12,346.12,347.12,342.27,346.57,80500000,46.88
2011-05-13,345.66,346.25,340.35,340.5,81529000,46.06
2011-05-16,339.2,341.22,332.6,333.3,112443800,45.09
2011-05-17,332.0,336.14,330.73,336.14,113083600,45.47
2011-05-18,336.47,341.05,336.0,339.87,83694100,45.98
2011-05-19,342.08,342.41,338.67,340.53,65292500,46.07
2011-05-20,339.56,340.95,335.02,335.22,84492100,45.35
2011-05-23,329.97,335.98,329.42,334.4,95900000,45.24
2011-05-24,335.5,335.9,331.34,332.19,80481800,44.94
2011-05-25,333.43,338.56,332.85,336.78,73556000,45.56
